wavelength,r,g,b
4.02e-07,0.0657164281361574,0.05451895600823953,0.349799194860501
4.041098039215687e-07,0.06254522582783797,0.051969689425796044,0.3656080786080594
4.062196078431373e-07,0.05929259024847011,0.04920076856157819,0.38190718269572177
4.083294117647059e-07,0.05593298640841305,0.04657225480775291,0.398733150326292
4.1043921568627454e-07,0.05244042997871053,0.04444420955648684,0.41520221893207776
4.125490196078432e-07,0.0487885255710805,0.04315913202542252,0.4312513561274193
4.146588235294118e-07,0.04518166431898503,0.042657602795008985,0.44809708651219304
4.167686274509804e-07,0.04250147506105984,0.04240403453279252,0.46446870074668145
4.1887843137254905e-07,0.04120319002110693,0.0415357041817157,0.4788492311121213
4.209882352941177e-07,0.03925901297772779,0.04014925191313546,0.49311179153443
4.230980392156863e-07,0.03599408614609174,0.03901575202289452,0.508149438622325
4.252078431372549e-07,0.03293402702864746,0.03845506202591808,0.523119731707821
4.2731764705882356e-07,0.030673451029131264,0.03883166821492345,0.5374891093181617
4.294274509803922e-07,0.0288056186459736,0.04018879573500428,0.5511845777793724
4.315372549019608e-07,0.027012591986716183,0.0405901755691904,0.5641577283085124
4.336470588235294e-07,0.025236469262269596,0.04083751538964743,0.5763601521226406
4.3575686274509807e-07,0.023868527487550865,0.04235103534411513,0.5877434404388171
4.378666666666667e-07,0.02303362149206091,0.043630653473647855,0.5982591844741011
4.399764705882353e-07,0.022108437393253196,0.04362960225303732,0.6078713548045398
4.420862745098039e-07,0.020500702655695768,0.0443508532761147,0.6166472949996413
4.441960784313726e-07,0.018771379337907162,0.04589140700524056,0.6247045459454552
4.4630588235294123e-07,0.018702946100490666,0.04693547460496166,0.6320543794512512
4.4841568627450983e-07,0.018761644475822778,0.048241721610398094,0.6385204826215601
4.5052549019607844e-07,0.01854417236063411,0.05284613069028026,0.6439360849853002
4.526352941176471e-07,0.017783823772375473,0.05967142631066582,0.6483382733717786
4.5474509803921574e-07,0.01872101134667115,0.06856442217991826,0.6518424476912013
4.5685490196078435e-07,0.017894779373894457,0.0790515493469422,0.6544916630513385
4.58964705882353e-07,0.019182138233285528,0.09212730547473928,0.656049753720253
4.610745098039216e-07,0.018571908110803448,0.11343702265183757,0.6559064878109943
4.631843137254902e-07,0.01833372085033377,0.14319983774252185,0.6534212270718389
4.6529411764705886e-07,0.017848411636913048,0.1801170647415523,0.6479545121864086
4.6740392156862746e-07,0.018319870955115048,0.22289001764368813,0.639397470389983
4.695137254901961e-07,0.01870011717864416,0.27022001044369237,0.6290069490999118
4.716235294117647e-07,0.01873441471404815,0.32080835713632433,0.6181484815691909
4.7373333333333337e-07,0.018715441367623927,0.3733563717163449,0.6070097993557519
4.75843137254902e-07,0.018722147873205874,0.4265653681785141,0.5950543290844733
4.779529411764706e-07,0.018720597695596843,0.4791366605175917,0.5817365215493613
4.800627450980392e-07,0.018720809325171367,0.5297715627283406,0.5667346271765695
4.821725490196079e-07,0.018719821838537248,0.5771363597978955,0.5501792582238306
4.842823529411764e-07,0.018724499056885995,0.6199502394993638,0.5322555604319371
4.863921568627451e-07,0.018710723733838603,0.6582050081618384,0.5131486795416793
4.885019607843137e-07,0.01873635798115753,0.6921578540913197,0.4930437612938495
4.906117647058824e-07,0.018732540776211688,0.7220659655938094,0.4721259514292393
4.92721568627451e-07,0.018544212170924425,0.748186530975309,0.45058039568864033
4.948313725490196e-07,0.019965522945875894,0.7707783797825256,0.4285922398128448
4.969411764705882e-07,0.0223672042408181,0.7901783773482453,0.406346629542643
4.99050980392157e-07,0.024418407452428306,0.8068338611910878,0.38402871061882726
5.011607843137254e-07,0.026799549168316037,0.8212005440611019,0.36182362878219
5.032705882352942e-07,0.02942068347051092,0.833732776380123,0.3399165297735212
5.053803921568628e-07,0.03183925976192698,0.8447915177763304,0.3184925593336135
5.074901960784315e-07,0.03445237013281651,0.8548527625679831,0.2977368632032582
5.096000000000001e-07,0.03822015534310845,0.8649654578814552,0.27783458712324716
5.117098039215687e-07,0.04208184124428872,0.874605660264788,0.2589297071585355
5.138196078431374e-07,0.045787001220127785,0.8823952518885261,0.2409978278258381
5.15929411764706e-07,0.049698495225742836,0.8883991626687451,0.22397152274881457
5.180392156862745e-07,0.05332508023722687,0.8946802446177387,0.2078799968543498
5.201490196078432e-07,0.05579955809411033,0.9022014535299439,0.19307739644984714
5.222588235294118e-07,0.05853100297865908,0.909225416542141,0.17969651372626394
5.243686274509805e-07,0.05965969120766539,0.9147109453082114,0.16761890275850994
5.264784313725491e-07,0.05885492532457881,0.9186534363540969,0.1567182030335526
5.285882352941177e-07,0.05751558811442879,0.9212489467822479,0.146843562274652
5.306980392156864e-07,0.05625680056411984,0.923821839299755,0.1375094941053144
5.328078431372549e-07,0.05508616612156647,0.9259012034203492,0.12832840860427835
5.349176470588235e-07,0.05315527749941901,0.92679817801261,0.11978848087788575
5.370274509803922e-07,0.04979023120690733,0.926689796756034,0.11213431287984672
5.391372549019608e-07,0.04613919952822807,0.9254343062431236,0.10513022755362257
5.412470588235294e-07,0.04372911359596459,0.9243415423041296,0.09851070040869579
5.433568627450981e-07,0.0412899787136675,0.9220984897358001,0.09205324797736324
5.454666666666667e-07,0.03838005559589327,0.9172665187087853,0.08572651860632534
5.475764705882354e-07,0.03726352515197485,0.9107744023054759,0.07955219657222418
5.49686274509804e-07,0.037328955611478455,0.9044730481517425,0.07355196817150964
5.517960784313725e-07,0.03677808623207155,0.8979821507405492,0.06774751970063185
5.539058823529412e-07,0.03617177509942454,0.8925149704184295,0.062160539693680225
5.560156862745098e-07,0.03662192106697544,0.8872495130941934,0.056842244124882334
5.581254901960784e-07,0.040035421405132374,0.880659467663653,0.0519473256044159
5.602352941176471e-07,0.04725958949961925,0.873116207933617,0.04765313111774282
5.623450980392157e-07,0.061767910496756596,0.8635763798418953,0.04413438844103325
5.644549019607844e-07,0.08608726580022359,0.853399009272002,0.041418313556864574
5.665647058823529e-07,0.11028422347569428,0.8439550728267007,0.039308856767221526
5.686745098039216e-07,0.1542153598541978,0.8341985360200942,0.03759137777636229
5.707843137254902e-07,0.21490160670183198,0.8235872756916751,0.036051236288545736
5.728941176470588e-07,0.27978901949188395,0.8116966470724534,0.03447379200803014
5.750039215686274e-07,0.3478127073383851,0.7979946743304254,0.03270565178107354
5.771137254901961e-07,0.4181689862983456,0.78292467003939,0.03091549723955888
5.792235294117647e-07,0.49005417242877636,0.7678708861407861,0.029376817023390463
5.813333333333335e-07,0.5626645817866878,0.7520919532558806,0.02820225747136276
5.834431372549021e-07,0.6351965304290905,0.7334863279683965,0.02713786999709189
5.855529411764706e-07,0.7068463344129915,0.7121508916190605,0.02588818155596113
5.876627450980393e-07,0.776806161027734,0.6884293834536142,0.024397869448213805
