wavelength,r,g,b
4.01049876896629e-07,0.0169850650719421,0.04694349246522488,0.3119526954630052
4.02218596370763e-07,0.016985065096498515,0.04607124926234541,0.3140260366373678
4.0338731584489696e-07,0.01698506500324652,0.046098125172972425,0.31780541027965187
4.0455603531903097e-07,0.016985065336660197,0.04601392171955746,0.3232100107937328
4.0572475479316493e-07,0.016985064104828303,0.045247825789425676,0.33015903258348567
4.0689347426729894e-07,0.016985068237718427,0.044631493686577144,0.338571670052786
4.080621937414329e-07,0.01698505591932313,0.04467017171452971,0.3483671176055084
4.092309132155669e-07,0.016985087319568375,0.04478222314149016,0.35946456964552886
4.103996326897009e-07,0.016985026815594877,0.044575726880638294,0.37178322057672175
4.115683521638349e-07,0.016984884463365997,0.04525981827180902,0.38524226480296314
4.1273707163796885e-07,0.016985777487631505,0.046095100903861215,0.3997608967281272
4.1390579111210286e-07,0.016982401744054944,0.04621272337864388,0.4152583107560903
4.150745105862368e-07,0.016993970686259574,0.04740683326699121,0.4316537012907265
4.1624323006037083e-07,0.01695866933077432,0.04728471783530871,0.4488662627359123
4.1741194953450485e-07,0.01705175833303325,0.04825419581496079,0.46681518949552225
4.185806690086388e-07,0.01685695774939125,0.04871693458499445,0.48541967597343055
4.197493884827728e-07,0.015648348518821343,0.049081539107113374,0.5045989165735143
4.209181079569068e-07,0.015622524711728179,0.050474148240330835,0.5242721056996469
4.220868274310408e-07,0.015795683312404333,0.051530130722626535,0.5443584377557054
4.2325554690517475e-07,0.014713929853997752,0.05248940809659491,0.5647771071455628
4.2442426637930877e-07,0.014233230056276613,0.054130415354793585,0.5854473082730968
4.2559298585344273e-07,0.014354530175848878,0.05681161326498189,0.60628823554218
4.2676170532757674e-07,0.014378648658459833,0.059674770393719,0.6272190833566902
4.279304248017107e-07,0.014309497951163541,0.06201288268920422,0.6481590461205002
4.290991442758447e-07,0.013092232974197782,0.06501294123779175,0.6690273182374875
4.3026786374997867e-07,0.012960838647271431,0.06743002733231497,0.689743094111525
4.314365832241127e-07,0.013111915351869036,0.07036959679966344,0.7102255681464902
4.326053026982467e-07,0.012880683114446644,0.07408881377562532,0.730393934746257
4.3377402217238066e-07,0.012921261833856945,0.07745024684653047,0.7501673883147
4.3494274164651467e-07,0.014097643991178634,0.08125678085715549,0.7694651232556959
4.3611146112064863e-07,0.014435128885589824,0.08594079390428092,0.7882063339731186
4.3728018059478264e-07,0.014314304741893647,0.08941078844191694,0.8063102148708445
4.384489000689166e-07,0.014343425455274093,0.09400590609093194,0.8236959603527475
4.396176195430506e-07,0.014367260740952079,0.0987850742723103,0.840282764822704
4.407863390171846e-07,0.014279833092833313,0.10338929040646351,0.8559898226845885
4.419550584913186e-07,0.014449562724395067,0.10831318669888172,0.8707363283422769
4.4312377796545255e-07,0.015658180601966144,0.11223359598436106,0.8844414761996431
4.4429249743958656e-07,0.015614477277714804,0.11640646005309913,0.897024460660564
4.454612169137205e-07,0.016708558664374703,0.1223504231564575,0.9084044761289132
4.4662993638785454e-07,0.01708376125315947,0.12691655536785462,0.9185007170085672
4.4779865586198855e-07,0.016975825405676985,0.1327529596470836,0.9274192457418584
4.489673753361225e-07,0.01692722280375619,0.14117974687476775,0.9360296007436765
4.501360948102565e-07,0.01710396438727966,0.1462242176724991,0.9431514260822296
4.513048142843905e-07,0.018315754200276653,0.15293486979042786,0.9484720161522954
4.524735337585245e-07,0.01835082003085418,0.16236802859287855,0.952701897499279
4.5364225323265846e-07,0.018171388476447906,0.17139495815774572,0.9563740351618544
4.5481097270679247e-07,0.019246894678796922,0.18028091806622085,0.9610518732711663
4.5597969218092643e-07,0.019735129310433083,0.18970444653363636,0.9633699504967219
4.5714841165506044e-07,0.019624071826851445,0.19769724918883902,0.9656538875181596
4.583171311291944e-07,0.019538712139729516,0.2092204387525275,0.9681282255096325
4.594858506033284e-07,0.019884905764542916,0.2193788144843717,0.9697124842777899
4.606545700774624e-07,0.021027521666187356,0.2276762259115811,0.9701659289443626
4.618232895515964e-07,0.020946364390118717,0.23767597426436807,0.9696096971450372
4.629920090257304e-07,0.0209676328567003,0.24635416035931576,0.9679102915884941
4.6416072849986436e-07,0.020814549350462935,0.25633884166546944,0.965394736036025
4.6532944797399837e-07,0.021558412336213112,0.26677174448597646,0.963205541954916
4.6649816744813233e-07,0.022436748237155937,0.2763124615768428,0.9606608720998611
4.6766688692226635e-07,0.022166295062492125,0.2856695479143962,0.9547743264864578
4.688356063964003e-07,0.022113187877724337,0.29501767681619673,0.9494702857062249
4.700043258705343e-07,0.022986093314761487,0.3057318562542861,0.9455089663664833
4.711730453446683e-07,0.02371706004528614,0.31417205894984995,0.9427642287270775
4.723417648188023e-07,0.023507529598946784,0.32378585334450166,0.9400966838047288
4.735104842929363e-07,0.023688288309753933,0.3348107391138138,0.9363844479130078
4.7467920376707026e-07,0.024898592975536527,0.3447064830170865,0.9329484073609565
4.758479232412042e-07,0.0249023352602563,0.354219274962202,0.9293474025112964
4.770166427153382e-07,0.02556748803806838,0.36517769730949645,0.923494734697391
4.781853621894723e-07,0.02693385327883092,0.3770115913258992,0.9132294963353391
4.793540816636063e-07,0.02768399462526676,0.38772064475253626,0.9013749258497158
4.805228011377402e-07,0.027465619079823825,0.3986220668901937,0.8891770033871698
4.816915206118742e-07,0.027669118215980813,0.4104984858000623,0.8765803367323992
4.828602400860082e-07,0.028877126705963728,0.4229268063889155,0.8635260181525494
4.840289595601422e-07,0.02892100565584006,0.4356493086788181,0.8499551399147632
4.851976790342761e-07,0.028736854456651507,0.4486114511876375,0.8358087942861858
4.863663985084101e-07,0.029803246640588175,0.4617695312969356,0.8210280735339577
4.875351179825441e-07,0.030307733168529135,0.47507984638827094,0.8055644016948735
4.887038374566782e-07,0.03018175092488516,0.4884986938432032,0.789433692178977
4.898725569308121e-07,0.03016313198845547,0.5019823710432904,0.7726766944340618
4.910412764049461e-07,0.03007532542746812,0.5154871753700947,0.7553342101739808
4.922099958790801e-07,0.03118641777606544,0.5289694042051747,0.7374470411125901
4.933787153532141e-07,0.03161800508691637,0.5423853549300894,0.7190559889637446
4.945474348273481e-07,0.03150698385390345,0.5557132908000948,0.7002018554413001
4.95716154301482e-07,0.031444122751455285,0.5691065365334684,0.6809254422591134
4.96884873775616e-07,0.03175029004031332,0.5828021492266593,0.6612675511310359
4.9805359324975e-07,0.032803344586529504,0.5970377079661436,0.6412689837709248
4.992223127238841e-07,0.03289666326102414,0.6120507918383988,0.6209705418926352
5.00391032198018e-07,0.03272214373994398,0.6280789799299009,0.6004130272100239
