"Wavelength, µm","n","k"
1.4425,3.079365,2.093965
1.445,3.081816,2.096351
1.4475,3.084269,2.098732
1.45,3.086723,2.10111
1.4525,3.089179,2.103484
1.455,3.091636,2.105854
1.4575,3.094095,2.10822
1.46,3.096555,2.110582
1.4625,3.099016,2.112941
1.465,3.10148,2.115295
1.4675,3.103944,2.117645
1.47,3.106411,2.119992
1.4725,3.108878,2.122335
1.475,3.111347,2.124674
1.4775,3.113817,2.127009
1.48,3.116289,2.12934
1.4825,3.118762,2.131668
1.485,3.121237,2.133991
1.4875,3.123713,2.136311
1.49,3.12619,2.138627
1.4925,3.128668,2.140939
1.495,3.131148,2.143248
1.4975,3.133629,2.145552
1.5,3.136111,2.147853
1.5025,3.138595,2.150151
1.505,3.14108,2.152444
1.5075,3.143566,2.154733
1.51,3.146053,2.157019
1.5125,3.148541,2.159302
1.515,3.151031,2.16158
1.5175,3.153522,2.163855
1.52,3.156014,2.166126
1.5225,3.158507,2.168393
1.525,3.161002,2.170656
1.5275,3.163497,2.172916
1.53,3.165994,2.175172
1.5325,3.168491,2.177425
1.535,3.17099,2.179674
1.5375,3.17349,2.181919
1.54,3.175991,2.18416
1.5425,3.178493,2.186398
1.545,3.180996,2.188632
1.5475,3.1835,2.190863
1.55,3.186005,2.19309
1.5525,3.188511,2.195313
1.555,3.191018,2.197533
1.5575,3.193526,2.199749
1.56,3.196035,2.201962
1.5625,3.198545,2.204171
1.565,3.201056,2.206376
1.5675,3.203568,2.208578
1.57,3.206081,2.210776
1.5725,3.208595,2.212971
1.575,3.211109,2.215162
1.5775,3.213625,2.217349
1.58,3.216141,2.219533
1.5825,3.218659,2.221714
1.585,3.221177,2.223891
1.5875,3.223696,2.226064
1.59,3.226216,2.228235
1.5925,3.228737,2.230401
1.595,3.231258,2.232564
1.5975,3.23378,2.234723
1.6,3.236304,2.23688
1.6025,3.238828,2.239032
1.605,3.241353,2.241181
1.6075,3.243878,2.243327
1.61,3.246404,2.245469
1.6125,3.248931,2.247608
1.615,3.251459,2.249743
1.6175,3.253988,2.251875
1.62,3.256517,2.254004
1.6225,3.259047,2.256129
1.625,3.261578,2.258251
1.6275,3.26411,2.260369
1.63,3.266642,2.262484
1.6325,3.269175,2.264596
1.635,3.271708,2.266704
1.6375,3.274242,2.268809
1.64,3.276777,2.27091
1.6425,3.279313,2.273008
1.645,3.281849,2.275103
1.6475,3.284386,2.277195
1.65,3.286923,2.279283
1.6525,3.289461,2.281368
1.655,3.292,2.283449
1.6575,3.294539,2.285528
1.66,3.297079,2.287603
1.6625,3.29962,2.289675
1.665,3.302161,2.291743
1.6675,3.304702,2.293808
1.67,3.307245,2.29587
1.6725,3.309787,2.297929
1.675,3.312331,2.299984
1.6775,3.314875,2.302036
1.68,3.317419,2.304085
1.6825,3.319964,2.306131
1.685,3.322509,2.308173
1.6875,3.325055,2.310213
1.69,3.327602,2.312249
