"Wavelength, µm","n","k"
0.42,2.58078,1.107329
0.421,2.580066,1.107154
0.422,2.579369,1.106988
0.423,2.578687,1.106831
0.424,2.578021,1.106682
0.425,2.577369,1.106541
0.426,2.576733,1.106408
0.427,2.57611,1.106283
0.428,2.575501,1.106166
0.429,2.574906,1.106056
0.43,2.574324,1.105954
0.431,2.573755,1.105859
0.432,2.573198,1.105772
0.433,2.572654,1.105692
0.434,2.572121,1.105618
0.435,2.5716,1.105552
0.436,2.57109,1.105493
0.437,2.570592,1.10544
0.438,2.570104,1.105394
0.439,2.569627,1.105355
0.44,2.56916,1.105322
0.441,2.568703,1.105295
0.442,2.568255,1.105275
0.443,2.567817,1.105262
0.444,2.567389,1.105254
0.445,2.566969,1.105253
0.446,2.566559,1.105257
0.447,2.566156,1.105268
0.448,2.565763,1.105285
0.449,2.565377,1.105307
0.45,2.565,1.105336
0.451,2.56463,1.10537
0.452,2.564268,1.10541
0.453,2.563913,1.105456
0.454,2.563565,1.105507
0.455,2.563225,1.105564
0.456,2.562891,1.105627
0.457,2.562565,1.105695
0.458,2.562244,1.105769
0.459,2.56193,1.105849
0.46,2.561623,1.105933
0.461,2.561321,1.106024
0.462,2.561026,1.106119
0.463,2.560736,1.10622
0.464,2.560452,1.106327
0.465,2.560173,1.106438
0.466,2.5599,1.106555
0.467,2.559632,1.106677
0.468,2.55937,1.106805
0.469,2.559112,1.106938
0.47,2.55886,1.107075
0.471,2.558612,1.107218
0.472,2.558368,1.107367
0.473,2.55813,1.10752
0.474,2.557896,1.107678
0.475,2.557666,1.107842
0.476,2.557441,1.108011
0.477,2.55722,1.108184
0.478,2.557003,1.108363
0.479,2.556789,1.108547
0.48,2.55658,1.108736
0.481,2.556375,1.10893
0.482,2.556173,1.109128
0.483,2.555975,1.109332
0.484,2.555781,1.109541
0.485,2.55559,1.109755
0.486,2.555403,1.109973
0.487,2.555219,1.110197
0.488,2.555038,1.110425
0.489,2.554861,1.110659
0.49,2.554687,1.110897
0.491,2.554516,1.11114
0.492,2.554348,1.111389
0.493,2.554182,1.111642
0.494,2.55402,1.111899
0.495,2.553861,1.112162
0.496,2.553704,1.112429
0.497,2.55355,1.112702
0.498,2.553399,1.112979
0.499,2.553251,1.113261
0.5,2.553105,1.113548
0.501,2.552962,1.113839
0.502,2.552821,1.114136
0.503,2.552682,1.114437
0.504,2.552547,1.114743
0.505,2.552413,1.115054
0.506,2.552282,1.115369
0.507,2.552153,1.115689
0.508,2.552026,1.116014
0.509,2.551902,1.116344
0.51,2.55178,1.116678
0.511,2.55166,1.117017
0.512,2.551542,1.117361
0.513,2.551426,1.117709
0.514,2.551312,1.118062
0.515,2.5512,1.11842
0.516,2.55109,1.118783
0.517,2.550982,1.11915
0.518,2.550877,1.119521
0.519,2.550773,1.119898
0.52,2.550671,1.120279
0.521,2.55057,1.120665
0.522,2.550472,1.121055
0.523,2.550375,1.12145
0.524,2.550281,1.12185
0.525,2.550188,1.122254
0.526,2.550097,1.122662
0.527,2.550007,1.123076
0.528,2.549919,1.123493
0.529,2.549833,1.123916
0.53,2.549749,1.124343
0.531,2.549666,1.124774
0.532,2.549585,1.12521
0.533,2.549505,1.125651
0.534,2.549428,1.126096
0.535,2.549351,1.126546
0.536,2.549277,1.127
0.537,2.549204,1.127458
0.538,2.549132,1.127921
0.539,2.549062,1.128389
0.54,2.548994,1.128861
0.541,2.548927,1.129337
0.542,2.548862,1.129818
0.543,2.548798,1.130303
0.544,2.548735,1.130793
0.545,2.548675,1.131287
0.546,2.548615,1.131786
0.547,2.548557,1.132289
0.548,2.548501,1.132796
0.549,2.548446,1.133308
0.55,2.548393,1.133824
0.551,2.548341,1.134344
0.552,2.54829,1.134869
0.553,2.548241,1.135398
0.554,2.548193,1.135931
0.555,2.548147,1.136469
0.556,2.548102,1.137011
0.557,2.548059,1.137557
0.558,2.548016,1.138107
0.559,2.547976,1.138662
